"ville","users","lon","lat","address"
"vendome",20,1.065343,47.792551,"41100 vendôme, france"
"venissieux",17,4.8844649,45.699594,"vénissieux, france"
"verdun",19,5.3844231,49.1598764,"verdun, france"
"versailles",277,2.130122,48.801408,"versailles, france"
"vervins",1,3.907087,49.834435,"02140 vervins, france"
"vesoul",30,6.15428,47.619788,"70000 vesoul, france"
"vichy",51,3.425488,46.131859,"vichy, france"
"vienne",85,4.874339,45.525587,"vienne, france"
"vierzon",12,2.069791,47.221438,"vierzon, france"
"villefranche de rouergue",2,2.035381,44.349746,"villefranche-de-rouergue, france"
"villefranche sur saone",18,4.718821,45.991471,"villefranche-sur-saone, france"
"villejuif",32,2.359279,48.792716,"villejuif, france"
"villeneuve d ascq",42,3.1442651,50.6232523,"villeneuve-d'ascq, france"
"villeneuve saint georges",8,2.447488,48.7305769,"villeneuve-saint-georges, france"
"villeneuve sur lot",16,0.7072568,44.4082053,"villeneuve-sur-lot, france"
"villepinte",7,2.542867,48.960226,"villepinte, france"
"villeurbanne",103,4.8901709,45.771944,"villeurbanne, france"
"vincennes",63,2.4394969,48.847759,"vincennes, france"
"vire",11,-0.888482,48.837781,"vire, france"
"viry chatillon",5,2.375902,48.666218,"viry-châtillon, france"
"vitrolles",22,5.249703,43.458598,"vitrolles, france"
"vitry le francois",4,4.585745,48.726087,"51300 vitry-le-françois, france"
"vitry sur seine",21,2.39851,48.792001,"vitry-sur-seine, france"
"vouziers",3,4.700375,49.398265,"08400 vouziers, france"
"wattrelos",12,3.215007,50.701174,"wattrelos, france"
